Kategorie,Platz,Wert
Super G (L),3 at,4
Super G (L),1,16
Super G (L),3,16
Super G (L),2,16
Super G (L),1 at,7
Super G (L),2 at,3
Combined (L),3 at,11
Combined (L),1,35
Combined (L),3,35
Combined (L),2,35
Combined (L),1 at,5
Combined (L),2 at,11
Downhill training (L),3 at,5
Downhill training (L),1,13
Downhill training (L),3,12
Downhill training (L),2,14
Downhill training (L),1 at,3
Downhill training (L),2 at,1
Giant Slalom (L),3 at,5
Giant Slalom (L),1,33
Giant Slalom (L),3,32
Giant Slalom (L),2,34
Giant Slalom (L),1 at,5
Giant Slalom (L),2 at,9
Super G (M),3 at,4
Super G (M),1,16
Super G (M),3,14
Super G (M),2,15
Super G (M),1 at,4
Super G (M),2 at,5
Downhill training (M),3 at,2
Downhill training (M),1,12
Downhill training (M),3,12
Downhill training (M),2,12
Downhill training (M),1 at,3
Downhill training (M),2 at,2
Alpine combined (M),3 at,0
Alpine combined (M),1,1
Alpine combined (M),3,1
Alpine combined (M),2,1
Alpine combined (M),1 at,1
Alpine combined (M),2 at,0
Slalom (L),3 at,10
Slalom (L),1,55
Slalom (L),3,55
Slalom (L),2,55
Slalom (L),1 at,9
Slalom (L),2 at,12
Slalom (M),3 at,12
Slalom (M),1,60
Slalom (M),3,61
Slalom (M),2,60
Slalom (M),1 at,20
Slalom (M),2 at,17
Downhill (M),3 at,11
Downhill (M),1,60
Downhill (M),3,60
Downhill (M),2,62
Downhill (M),1 at,18
Downhill (M),2 at,8
Alpine combined (L),3 at,2
Alpine combined (L),1,2
Alpine combined (L),3,2
Alpine combined (L),2,2
Alpine combined (L),1 at,0
Alpine combined (L),2 at,1
Super Combined (L),3 at,3
Super Combined (L),1,4
Super Combined (L),3,4
Super Combined (L),2,4
Super Combined (L),1 at,2
Super Combined (L),2 at,0
Team (A),3 at,0
Team (A),1,2
Team (A),3,2
Team (A),2,2
Team (A),1 at,2
Team (A),2 at,0
Combined (M),3 at,10
Combined (M),1,35
Combined (M),3,35
Combined (M),2,35
Combined (M),1 at,8
Combined (M),2 at,7
Downhill (L),3 at,15
Downhill (L),1,61
Downhill (L),3,58
Downhill (L),2,64
Downhill (L),1 at,16
Downhill (L),2 at,20
Super Combined (M),3 at,1
Super Combined (M),1,4
Super Combined (M),3,4
Super Combined (M),2,4
Super Combined (M),1 at,0
Super Combined (M),2 at,1
Giant Slalom (M),3 at,11
Giant Slalom (M),1,38
Giant Slalom (M),3,39
Giant Slalom (M),2,38
Giant Slalom (M),1 at,7
Giant Slalom (M),2 at,15
