"url","date","ort","land","codex","disziplin","gender","category","kommentar"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=13100","09.12.2000","Sestriere","ITA",5127,"Giant Slalom","L","WC","Val d Isère06.12"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=34960","27.02.2005","San Sicario","ITA",6424,"Downhill","L","COM","Super Combination"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=34959","27.02.2005","San Sicario","ITA",6423,"Slalom","L","COM","Super Combination"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=34952","14.01.2005","Wengen","SUI",1225,"Downhill","M","COM","Super Combination"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=33865","14.01.2005","Wengen","SUI",1226,"Slalom","M","COM","Super Combination"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75164","26.01.2014","Cortina d Ampezzo","ITA",5181,"Super G","L","WC","Rescheduled SG from Garmisch"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75169","23.01.2014","Cortina d Ampezzo","ITA",5212,"Super G","L","WC","Rescheduled SG from Cortina"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75168","24.01.2014","Cortina d Ampezzo","ITA",5211,"Downhill","L","WC","Rescheduled SG from Cortina"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78919","17.01.2015","Wengen","SUI",195,"Slalom","M","WC","Rescheduled from 18.01"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78918","18.01.2015","Wengen","SUI",194,"Downhill","M","WC","Rescheduled from 17.01"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75163","25.01.2014","Cortina d Ampezzo","ITA",5180,"Downhill","L","WC","Rescheduled DH from Garmisch"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62269","04.02.2011","Arber-Zwiesel","GER",5611,"Slalom","L","WC","replaces:05.02.2011"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=25661","30.01.2004","Garmisch-Partenkirchen","GER",903,"Downhill","M","WC","Replaces: Wengen"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=23664","22.01.2004","Kitzbuehel","AUT",1132,"Downhill","M","WC","Replaces: Wengen"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47893","27.01.2007","Kitzbuehel","AUT",1597,"Slalom","M","WC","Replaces: Wengen"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=25260","17.12.2003","Madonna di Campiglio","ITA",5694,"Slalom","L","WC","Replaces: Vratna"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66767","03.02.2012","Chamonix","FRA",789,"Downhill","M","WC","Replaces: Val Gardena-Groeden"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=26002","14.12.2003","Alta Badia","ITA",967,"Giant Slalom","M","WC","Replaces: Val d'Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=26001","05.12.2003","Vail/Beaver Creek CO","USA",965,"Downhill","M","WC","Replaces: Val d'Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47595","28.12.2006","Bormio","ITA",702,"Downhill","M","WC","Replaces: Val d'Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47613","16.12.2006","Reiteralm","AUT",5701,"Super G","L","WC","Replaces: Val d'Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=47786","10.12.2006","Reiteralm","AUT",703,"Super Combined","M","WC","Replaces: Val d'Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=53968","22.12.2008","Alta Badia","ITA",500,"Slalom","M","WC","Replaces: Val d'Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=59241","08.01.2010","Haus im Ennstal","AUT",5546,"Downhill","L","WC","Replaces: Val d'Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66695","29.01.2012","St. Moritz","SUI",5475,"Super G","L","COM","Replaces: Val d'Isere"
