"","year","name","nation","gender","rank"
"1",-1967,NA,NA,NA,-1
"5",-1967,NA,NA,NA,-2
"6",-1967,NA,NA,NA,-3
"46",-1968,NA,NA,NA,-1
"48",-1968,NA,NA,NA,-3
"51",-1968,NA,NA,NA,-2
"113",-1969,NA,NA,NA,-1
"114",-1969,NA,NA,NA,-3
"115",-1969,NA,NA,NA,-2
"170",-1970,NA,NA,NA,-2
"171",-1970,NA,NA,NA,-1
"174",-1970,NA,NA,NA,-2
"238",-1971,NA,NA,NA,-1
"240",-1971,NA,NA,NA,-1
"243",-1971,NA,NA,NA,-3
"292",-1972,NA,NA,NA,-1
"294",-1972,NA,NA,NA,-2
"302",-1972,NA,NA,NA,-3
"350",-1973,NA,NA,NA,-1
"358",-1973,NA,NA,NA,-3
"359",-1973,NA,NA,NA,-2
"405",-1974,NA,NA,NA,-1
"406",-1974,NA,NA,NA,-3
"407",-1974,NA,NA,NA,-2
"468",-1975,NA,NA,NA,-1
"470",-1975,NA,NA,NA,-2
"471",-1975,NA,NA,NA,-3
"535",-1976,NA,NA,NA,-1
"536",-1976,NA,NA,NA,-3
"537",-1976,NA,NA,NA,-2
"602",-1977,NA,NA,NA,-1
"603",-1977,NA,NA,NA,-3
"608",-1977,NA,NA,NA,-1
"663",-1978,NA,NA,NA,-1
"664",-1978,NA,NA,NA,-3
"665",-1978,NA,NA,NA,-2
"720",-1979,NA,NA,NA,-2
"724",-1979,NA,NA,NA,-1
"727",-1979,NA,NA,NA,-3
"828",-1980,NA,NA,NA,-1
"832",-1980,NA,NA,NA,-3
"833",-1980,NA,NA,NA,-2
"921",-1981,NA,NA,NA,-3
"922",-1981,NA,NA,NA,-1
"923",-1981,NA,NA,NA,-2
"1027",-1982,NA,NA,NA,-1
"1028",-1982,NA,NA,NA,-2
"1032",-1982,NA,NA,NA,-3
"1132",-1983,NA,NA,NA,-1
"1133",-1983,NA,NA,NA,-2
"1139",-1983,NA,NA,NA,-2
"1237",-1984,NA,NA,NA,-1
"1238",-1984,NA,NA,NA,-1
"1247",-1984,NA,NA,NA,-3
"1349",-1985,NA,NA,NA,-1
"1350",-1985,NA,NA,NA,-2
"1355",-1985,NA,NA,NA,-3
"1467",-1986,NA,NA,NA,-2
"1471",-1986,NA,NA,NA,-3
"1481",-1986,NA,NA,NA,-1
"1583",-1987,NA,NA,NA,-1
"1586",-1987,NA,NA,NA,-1
"1587",-1987,NA,NA,NA,-3
"1691",-1988,NA,NA,NA,-1
"1692",-1988,NA,NA,NA,-2
"1701",-1988,NA,NA,NA,-3
"1810",-1989,NA,NA,NA,-1
"1812",-1989,NA,NA,NA,-1
"1814",-1989,NA,NA,NA,-3
"1916",-1990,NA,NA,NA,-1
"1917",-1990,NA,NA,NA,-1
"1921",-1990,NA,NA,NA,-3
"2026",-1991,NA,NA,NA,-3
"2027",-1991,NA,NA,NA,-1
"2028",-1991,NA,NA,NA,-2
"2120",-1992,NA,NA,NA,-3
"2121",-1992,NA,NA,NA,-1
"2137",-1992,NA,NA,NA,-2
"2276",-1993,NA,NA,NA,-3
"2277",-1993,NA,NA,NA,-1
"2280",-1993,NA,NA,NA,-2
"2425",-1994,NA,NA,NA,-2
"2435",-1994,NA,NA,NA,-1
"2437",-1994,NA,NA,NA,-3
"2573",-1995,NA,NA,NA,-1
"2575",-1995,NA,NA,NA,-2
"2585",-1995,NA,NA,NA,-3
"2712",-1996,NA,NA,NA,-3
"2714",-1996,NA,NA,NA,-1
"2720",-1996,NA,NA,NA,-2
"2864",-1997,NA,NA,NA,-2
"2867",-1997,NA,NA,NA,-1
"2869",-1997,NA,NA,NA,-3
"3008",-1998,NA,NA,NA,-1
"3013",-1998,NA,NA,NA,-2
