year,name,gender,nation,rank
1967,CLAUDE KILLY Jean,M,FRA,1
1967,MESSNER Heinrich,M,AUT,2
1967,PERILLAT Guy,M,FRA,3
1968,CLAUDE KILLY Jean,M,FRA,1
1968,GIOVANOLI Dumeng,M,SUI,2
1968,HUBER Herbert,M,AUT,3
1969,SCHRANZ Karl,M,AUT,1
1969,NOEL AUGERT Jean,M,FRA,2
1969,TRITSCHER Reinhard,M,AUT,3
1970,SCHRANZ Karl,M,AUT,1
1970,RUSSEL Patrick,M,FRA,2
1970,THOENI Gustavo,M,ITA,3
1971,THOENI Gustavo,M,ITA,1
1971,DUVILLARD Henri,M,FRA,2
1971,RUSSEL Patrick,M,FRA,3
1972,THOENI Gustavo,M,ITA,1
1972,DUVILLARD Henri,M,FRA,2
1972,BRUGGMANN Edmund,M,SUI,3
1973,THOENI Gustavo,M,ITA,1
1973,ZWILLING David,M,AUT,2
1973,COLLOMBIN Roland,M,SUI,3
1974,GROS Piero,M,ITA,1
1974,THOENI Gustavo,M,ITA,2
1974,HINTERSEER Hans,M,AUT,3
1975,THOENI Gustavo,M,ITA,1
1975,STENMARK Ingemar,M,SWE,2
1975,KLAMMER Franz,M,AUT,3
1976,STENMARK Ingemar,M,SWE,1
1976,GROS Piero,M,ITA,2
1976,THOENI Gustavo,M,ITA,3
1977,STENMARK Ingemar,M,SWE,1
1977,HEIDEGGER Klaus,M,AUT,2
1977,KLAMMER Franz,M,AUT,3
1978,STENMARK Ingemar,M,SWE,1
1978,MAHRE Phil,M,USA,2
1978,WENZEL Andreas,M,LIE,3
1979,LUSCHER Peter,M,SUI,1
1979,STOCK Leonhard,M,AUT,2
1979,MAHRE Phil,M,USA,3
1980,WENZEL Andreas,M,LIE,1
1980,STENMARK Ingemar,M,SWE,2
1980,MAHRE Phil,M,USA,3
1981,MAHRE Phil,M,USA,1
1981,STENMARK Ingemar,M,SWE,2
1981,ZHIROV Alexander,M,SOV,3
1982,MAHRE Phil,M,USA,1
1982,STENMARK Ingemar,M,SWE,2
1982,MAHRE Steve,M,USA,3
1983,MAHRE Phil,M,USA,1
1983,STENMARK Ingemar,M,SWE,2
1983,WENZEL Andreas,M,LIE,3
1984,ZURBRIGGEN Pirmin,M,SUI,1
1984,STENMARK Ingemar,M,SWE,2
1984,GIRARDELLI Marc,M,LUX,3
1985,GIRARDELLI Marc,M,LUX,1
1985,ZURBRIGGEN Pirmin,M,SUI,2
1985,WENZEL Andreas,M,LIE,3
1986,GIRARDELLI Marc,M,LUX,1
1986,ZURBRIGGEN Pirmin,M,SUI,2
1986,WASMEIER Markus,M,GER,3
1987,ZURBRIGGEN Pirmin,M,SUI,1
1987,GIRARDELLI Marc,M,LUX,2
1987,WASMEIER Markus,M,GER,3
1988,ZURBRIGGEN Pirmin,M,SUI,1
1988,TOMBA Alberto,M,ITA,2
1988,STROLZ Hubert,M,AUT,3
1989,GIRARDELLI Marc,M,LUX,1
1989,ZURBRIGGEN Pirmin,M,SUI,2
1989,TOMBA Alberto,M,ITA,3
1990,ZURBRIGGEN Pirmin,M,SUI,1
1990,FURUSETH Ole Christian,M,NOR,2
1990,MADER Guenther,M,AUT,3
1991,GIRARDELLI Marc,M,LUX,1
1991,TOMBA Alberto,M,ITA,2
1991,NIERLICH Rudolf,M,AUT,3
1992,ACCOLA Paul,M,SUI,1
1992,TOMBA Alberto,M,ITA,2
1992,GIRARDELLI Marc,M,LUX,3
1993,GIRARDELLI Marc,M,LUX,1
1993,AAMODT Kjetil Andre,M,NOR,2
1993,HEINZER Franz,M,SUI,3
1994,AAMODT Kjetil Andre,M,NOR,1
