year,name,nation,gender,rank
1967,CLAUDE KILLY Jean,FRA,M,1
1967,MAUDUIT Georges,FRA,M,2
1967,HUEGA Jimmy,USA,M,3
1968,CLAUDE KILLY Jean,FRA,M,1
1968,HUBER Herbert,AUT,M,3
1968,BRUGGMANN Edmund,SUI,M,2
1969,SCHRANZ Karl,AUT,M,1
1969,NOEL AUGERT Jean,FRA,M,3
1969,TRITSCHER Reinhard,AUT,M,2
1970,RUSSEL Patrick,FRA,M,2
1970,THOENI Gustavo,ITA,M,1
1970,GIOVANOLI Dumeng,SUI,M,2
1971,THOENI Gustavo,ITA,M,1
1971,RUSSEL Patrick,FRA,M,1
1971,BRUGGMANN Edmund,SUI,M,3
1972,THOENI Gustavo,ITA,M,1
1972,BRUGGMANN Edmund,SUI,M,2
1972,ROSSAT-MIGNOD Rogers,FRA,M,3
1973,HINTERSEER Hans,AUT,M,1
1973,ROSTI Adolf,SUI,M,3
1973,HAAKER Erik,NOR,M,2
1974,GROS Piero,ITA,M,1
1974,THOENI Gustavo,ITA,M,3
1974,HINTERSEER Hans,AUT,M,2
1975,STENMARK Ingemar,SWE,M,1
1975,GROS Piero,ITA,M,2
1975,HAAKER Erik,NOR,M,3
1976,STENMARK Ingemar,SWE,M,1
1976,GROS Piero,ITA,M,3
1976,THOENI Gustavo,ITA,M,2
1977,STENMARK Ingemar,SWE,M,1
1977,HEIDEGGER Klaus,AUT,M,3
1977,HEMMI Heini,SUI,M,1
1978,STENMARK Ingemar,SWE,M,1
1978,MAHRE Phil,USA,M,3
1978,WENZEL Andreas,LIE,M,2
1979,LUSCHER Peter,SUI,M,2
1979,STENMARK Ingemar,SWE,M,1
1979,KRIZAJ Bojan,SLO,M,3
1980,STENMARK Ingemar,SWE,M,1
1980,LUTHY Jacques,SUI,M,3
1980,ENN Hans,AUT,M,2
1981,MAHRE Phil,USA,M,3
1981,STENMARK Ingemar,SWE,M,1
1981,ZHIROV Alexander,SOV,M,2
1982,MAHRE Phil,USA,M,1
1982,STENMARK Ingemar,SWE,M,2
1982,GIRARDELLI Marc,LUX,M,3
1983,MAHRE Phil,USA,M,1
1983,STENMARK Ingemar,SWE,M,2
1983,JULEN Max,SUI,M,2
1984,ZURBRIGGEN Pirmin,SUI,M,1
1984,STENMARK Ingemar,SWE,M,1
1984,ENN Hans,AUT,M,3
1985,GIRARDELLI Marc,LUX,M,1
1985,ZURBRIGGEN Pirmin,SUI,M,2
1985,BURGLER Thomas,SUI,M,3
1986,STENMARK Ingemar,SWE,M,2
1986,STROLZ Hubert,AUT,M,3
1986,GASPOZ Joel,SUI,M,1
1987,ZURBRIGGEN Pirmin,SUI,M,1
1987,GASPOZ Joel,SUI,M,1
1987,PRAMOTTON Richard,ITA,M,3
1988,TOMBA Alberto,ITA,M,1
1988,STROLZ Hubert,AUT,M,2
1988,MAYER Helmut,AUT,M,3
1989,ZURBRIGGEN Pirmin,SUI,M,1
1989,FURUSETH Ole Christian,NOR,M,1
1989,NIERLICH Rudolf,AUT,M,3
1990,FURUSETH Ole Christian,NOR,M,1
1990,MADER Guenther,AUT,M,1
1990,STROLZ Hubert,AUT,M,3
1991,GIRARDELLI Marc,LUX,M,3
1991,TOMBA Alberto,ITA,M,1
1991,NIERLICH Rudolf,AUT,M,2
1992,ACCOLA Paul,SUI,M,3
1992,TOMBA Alberto,ITA,M,1
1992,PIEREN Hans,SUI,M,2
1993,GIRARDELLI Marc,LUX,M,3
1993,AAMODT Kjetil Andre,NOR,M,1
1993,TOMBA Alberto,ITA,M,2
1994,AAMODT Kjetil Andre,NOR,M,2
1994,MAYER Christian,AUT,M,1
1994,PICCARD Franck,FRA,M,3
1995,TOMBA Alberto,ITA,M,1
1995,KOSIR Jure,SLO,M,2
1995,STRAND NILSEN Harald Chr.,NOR,M,3
1996,KJUS Lasse,NOR,M,3
1996,VON GRUENIGEN Michael,SUI,M,1
1996,KAELIN Urs,SUI,M,2
1997,AAMODT Kjetil Andre,NOR,M,2
1997,VON GRUENIGEN Michael,SUI,M,1
1997,KNAUSS Hans,AUT,M,3
1998,MAIER Hermann,AUT,M,1
1998,VON GRUENIGEN Michael,SUI,M,2
1998,MAYER Christian,AUT,M,3
1999,MAIER Hermann,AUT,M,3
1999,EBERHARTER Stephan,AUT,M,2
1999,VON GRUENIGEN Michael,SUI,M,1
2000,MAIER Hermann,AUT,M,1
2000,MAYER Christian,AUT,M,2
2000,VON GRUENIGEN Michael,SUI,M,3
2001,MAIER Hermann,AUT,M,1
2001,VON GRUENIGEN Michael,SUI,M,2
2001,SCHLOPY Erik,USA,M,3
2002,EBERHARTER Stephan,AUT,M,3
2002,RAICH Benjamin,AUT,M,2
2002,COVILI Frederic,FRA,M,1
2003,MILLER Bode,USA,M,2
2003,KNAUSS Hans,AUT,M,3
2003,VON GRUENIGEN Michael,SUI,M,1
2004,MILLER Bode,USA,M,1
2004,PALANDER Kalle,FIN,M,2
2004,BLARDONE Massimiliano,ITA,M,3
2005,MILLER Bode,USA,M,2
2005,RAICH Benjamin,AUT,M,1
2005,GRANDI Thomas,CAN,M,3
2006,RAICH Benjamin,AUT,M,1
2006,BLARDONE Massimiliano,ITA,M,2
2006,NYBERG Fredrik,SWE,M,3
2007,SVINDAL Aksel Lund,NOR,M,1
2007,RAICH Benjamin,AUT,M,3
2007,BLARDONE Massimiliano,ITA,M,2
2008,RAICH Benjamin,AUT,M,2
2008,MOELGG Manfred,ITA,M,3
2008,LIGETY Ted,USA,M,1
2009,RAICH Benjamin,AUT,M,2
2009,CUCHE Didier,SUI,M,1
2009,LIGETY Ted,USA,M,3
2010,JANKA Carlo,SUI,M,2
2010,RAICH Benjamin,AUT,M,3
2010,LIGETY Ted,USA,M,1
2011,SVINDAL Aksel Lund,NOR,M,2
2011,LIGETY Ted,USA,M,1
2011,RICHARD Cyprien,FRA,M,3
2012,HIRSCHER Marcel,AUT,M,1
2012,LIGETY Ted,USA,M,2
2012,BLARDONE Massimiliano,ITA,M,3
2013,HIRSCHER Marcel,AUT,M,2
2013,LIGETY Ted,USA,M,1
2013,PINTURAULT Alexis; ,FRA,M,3
2014,HIRSCHER Marcel,AUT,M,1
2014,PINTURAULT Alexis; ,FRA,M,3
2014,LIGETY Ted,USA,M,1
2015,HIRSCHER Marcel,AUT,M,1
2015,PINTURAULT Alexis,FRA,M,2
2015,LIGETY Ted,USA,M,3
2016,HIRSCHER Marcel,AUT,M,1
2016,KRISTOFFERSEN Henrik; ,NOR,M,3
2016,PINTURAULT Alexis,FRA,M,2
1967,GREENE Nancy,CAN,L,1
1967,FAMOSE Annie,FRA,L,3
1967,SCHINEGGER Erika,AUT,L,2
1968,GREENE Nancy,CAN,L,1
1968,STEURER Florence,FRA,L,3
1968,BOCHATAY Fernande,SUI,L,2
1969,GABL Gertrude,AUT,L,3
1969,JACOT Michelle,FRA,L,2
1969,COCHRAN Marilyn,USA,L,1
1970,JACOT Michelle,FRA,L,1
1970,MACCHI Francoise,FRA,L,1
1970,MOSER-PROELL Annemarie,AUT,L,3
1971,MOSER-PROELL Annemarie,AUT,L,1
1971,JACOT Michelle,FRA,L,2
1971,MACCHI Francoise,FRA,L,3
1972,MOSER-PROELL Annemarie,AUT,L,1
1972,LAFFORGUE Britt,FRA,L,3
1972,KASERER Monika,AUT,L,2
1973,MOSER-PROELL Annemarie,AUT,L,2
1973,KASERER Monika,AUT,L,1
1973,WENZEL Hanni,LIE,L,3
1974,KASERER Monika,AUT,L,3
1974,WENZEL Hanni,LIE,L,1
1974,SERRAT Fabienne,FRA,L,2
1975,MOSER-PROELL Annemarie,AUT,L,1
1975,SERRAT Fabienne,FRA,L,2
1975,KASERER Monika,AUT,L,3
1976,MITTERMAIER Rosi,GER,L,3
1976,MOREROD Lise-Marie,SUI,L,1
1976,KASERER Monika,AUT,L,2
1977,MOREROD Lise-Marie,SUI,L,1
1977,MOSER-PROELL Annemarie,AUT,L,3
1977,KASERER Monika,AUT,L,2
1978,WENZEL Hanni,LIE,L,2
1978,MOREROD Lise-Marie,SUI,L,1
1978,EPPLE Maria,GER,L,3
1979,WENZEL Hanni,LIE,L,2
1979,EPPLE Irene,GER,L,3
1979,KINSHOFER Christa,GER,L,1
1980,WENZEL Hanni,LIE,L,1
1980,NADIG Marie-Therese,SUI,L,2
1980,PELEN Perrine,FRA,L,2
1981,NADIG Marie-Therese,SUI,L,2
1981,HESS Erika,SUI,L,3
1981,WENZEL Hanni,LIE,L,3
1981,EPPLE Irene,GER,L,3
1981,MC KINNEY Tamara,USA,L,1
1982,HESS Erika,SUI,L,3
1982,EPPLE Irene,GER,L,1
1982,EPPLE Maria,GER,L,2
1983,MCKINNEY Tamara,USA,L,1
1983,NELSON Cindy,USA,L,2
1983,EPPLE Maria,GER,L,3
1984,HESS Erika,SUI,L,1
1984,MCKINNEY Tamara,USA,L,3
1984,COOPER Christin,USA,L,2
1985,FIGINI Michela,SUI,L,1
1985,KIEHL Marina,GER,L,1
1985,SCHNEIDER Vreni,SUI,L,3
1986,SCHNEIDER Vreni,SUI,L,1
1986,SVET Mateja,SLO,L,3
1986,HAECHER GAVET Traudl,GER,L,2
1987,WALLISER Maria,SUI,L,1
1987,SCHNEIDER Vreni,SUI,L,1
1987,FERNANDEZ-OCHOA Blanca,ESP,L,3
1988,SCHNEIDER Vreni,SUI,L,3
1988,SVET Mateja,SLO,L,1
1988,QUITTET Catherine,FRA,L,2
1989,SCHNEIDER Vreni,SUI,L,1
1989,WALLISER Maria,SUI,L,3
1989,SVET Mateja,SLO,L,2
1990,KRONBERGER Petra,AUT,L,3
1990,WACHTER Anita,AUT,L,1
1990,SVET Mateja,SLO,L,2
1991,SCHNEIDER Vreni,SUI,L,1
1991,WACHTER Anita,AUT,L,2
1991,WIBERG Pernilla,SWE,L,3
1992,MERLE Carole,FRA,L,1
1992,SCHNEIDER Vreni,SUI,L,2
1992,ROFFE STEINROTTER Diann,USA,L,3
1993,WACHTER Anita,AUT,L,2
1993,MERLE Carole,FRA,L,1
1993,ERTL-RENZ Martina,GER,L,3
1994,SCHNEIDER Vreni,SUI,L,2
1994,WACHTER Anita,AUT,L,1
1994,COMPAGNONI Deborah,ITA,L,3
1995,SCHNEIDER Vreni,SUI,L,1
1995,ZELLER-BAEHLER Heidi,SUI,L,2
1995,PRETNAR Spela,SLO,L,3
1996,SEIZINGER Katja,GER,L,2
1996,ERTL-RENZ Martina,GER,L,1
1996,WACHTER Anita,AUT,L,3
1997,SEIZINGER Katja,GER,L,2
1997,COMPAGNONI Deborah,ITA,L,1
1997,WACHTER Anita,AUT,L,3
1998,ERTL-RENZ Martina,GER,L,1
1998,COMPAGNONI Deborah,ITA,L,2
1998,MEISSNITZER Alexandra,AUT,L,3
1999,MEISSNITZER Alexandra,AUT,L,1
1999,WACHTER Anita,AUT,L,2
1999,FLEMMEN Andrine,NOR,L,3
2000,DORFMEISTER Michaela,AUT,L,1
