year,name,nation,gender,rank
1967,CLAUDE KILLY Jean,FRA,M,1
1967,MESSNER Heinrich,AUT,M,3
1967,PERILLAT Guy,FRA,M,2
1968,CLAUDE KILLY Jean,FRA,M,2
1968,GIOVANOLI Dumeng,SUI,M,1
1968,RUSSEL Patrick,FRA,M,3
1969,NOEL AUGERT Jean,FRA,M,1
1969,MATT Alfred,AUT,M,1
1969,PENZ Alain,FRA,M,1
1969,RUSSEL Patrick,FRA,M,1
1970,RUSSEL Patrick,FRA,M,1
1970,NOEL AUGERT Jean,FRA,M,3
1970,PENZ Alain,FRA,M,1
1971,THOENI Gustavo,ITA,M,2
1971,NOEL AUGERT Jean,FRA,M,1
1971,PALMER Tyler,USA,M,3
1972,NOEL AUGERT Jean,FRA,M,1
1972,BACHLEDA I Andrzej,POL,M,2
1972,THOENI Rolando,ITA,M,3
1973,THOENI Gustavo,ITA,M,1
1973,NEUREUTHER Christian,GER,M,2
1973,AUGERT Jean-Noel,FRA,M,3
1974,THOENI Gustavo,ITA,M,1
1974,KNIEWASSER Johann,AUT,M,3
1974,NEUREUTHER Christian,GER,M,2
1975,THOENI Gustavo,ITA,M,2
1975,STENMARK Ingemar,SWE,M,1
1975,GROS Piero,ITA,M,3
1976,STENMARK Ingemar,SWE,M,1
1976,GROS Piero,ITA,M,2
1976,THOENI Gustavo,ITA,M,3
1976,HINTERSEER Hans,AUT,M,3
1977,STENMARK Ingemar,SWE,M,1
1977,HEIDEGGER Klaus,AUT,M,2
1977,FROMMELT Paul,LIE,M,3
1978,STENMARK Ingemar,SWE,M,1
1978,MAHRE Phil,USA,M,3
1978,HEIDEGGER Klaus,AUT,M,2
1979,MAHRE Phil,USA,M,2
1979,STENMARK Ingemar,SWE,M,1
1979,NEUREUTHER Christian,GER,M,3
1980,STENMARK Ingemar,SWE,M,1
1980,KRIZAJ Bojan,SLO,M,2
1980,NEUREUTHER Christian,GER,M,3
1981,MAHRE Phil,USA,M,2
1981,STENMARK Ingemar,SWE,M,1
1981,MAHRE Steve,USA,M,3
1981,KRIZAJ Bojan,SLO,M,3
1982,MAHRE Phil,USA,M,1
1982,STENMARK Ingemar,SWE,M,2
1982,MAHRE Steve,USA,M,3
1983,STENMARK Ingemar,SWE,M,1
1983,WENZEL Andreas,LIE,M,3
1983,STRAND Stig,SWE,M,1
1984,STENMARK Ingemar,SWE,M,2
1984,GIRARDELLI Marc,LUX,M,1
1984,GRUBER Franz,AUT,M,3
1985,GIRARDELLI Marc,LUX,M,1
1985,STENMARK Ingemar,SWE,M,3
1985,FROMMELT Paul,LIE,M,2
1986,STENMARK Ingemar,SWE,M,2
1986,PETROVIC Rok,SLO,M,1
1986,KRIZAJ Bojan,SLO,M,2
1986,FROMMELT Paul,LIE,M,2
1987,STENMARK Ingemar,SWE,M,2
1987,KRIZAJ Bojan,SLO,M,1
1987,BITTNER Armin,GER,M,3
1988,TOMBA Alberto,ITA,M,1
1988,MADER Guenther,AUT,M,2
1988,MCGRATH Felix,USA,M,3
1989,GIRARDELLI Marc,LUX,M,3
1989,TOMBA Alberto,ITA,M,2
1989,FURUSETH Ole Christian,NOR,M,3
1989,BITTNER Armin,GER,M,1
1990,FURUSETH Ole Christian,NOR,M,2
1990,BITTNER Armin,GER,M,1
1990,TOMBA Alberto,ITA,M,2
1991,GIRARDELLI Marc,LUX,M,1
1991,NIERLICH Rudolf,AUT,M,3
1991,FURUSETH Ole Christian,NOR,M,2
1992,ACCOLA Paul,SUI,M,2
1992,TOMBA Alberto,ITA,M,1
1992,JAGGE Finn Chr.,NOR,M,3
1993,TOMBA Alberto,ITA,M,2
1993,FOGDOE Thomas,SWE,M,1
1993,STANGASSINGER Thomas,AUT,M,3
1994,TOMBA Alberto,ITA,M,1
1994,KOSIR Jure,SLO,M,3
1994,STANGASSINGER Thomas,AUT,M,2
1995,TOMBA Alberto,ITA,M,1
1995,KOSIR Jure,SLO,M,3
1995,TRITSCHER Michael,AUT,M,2
1996,TOMBA Alberto,ITA,M,2
1996,AMIEZ Sebastien,FRA,M,1
1996,SYKORA Thomas,AUT,M,3
1997,SYKORA Thomas,AUT,M,1
1997,STANGASSINGER Thomas,AUT,M,2
